Queen - Bohemian Rhapsody, dantom: Like
Guns N' Roses - Sweet Child O' Mine, Diego: Like
Guns N' Roses - Sweet Child O' Mine, Diego: Like
Guns N' Roses - Sweet Child O' Mine, Diego: Like
Guns N' Roses - Sweet Child O' Mine,Diego: Dislike
Guns N' Roses - Sweet Child O' Mine,Diego: Dislike
Guns N' Roses - Sweet Child O' Mine,Diego: Dislike
Guns N' Roses - Sweet Child O' Mine,Diego: Dislike
Guns N' Roses - Sweet Child O' Mine,Diego: Dislike
Guns N' Roses - Sweet Child O' Mine,Diego: Dislike
Guns N' Roses - Sweet Child O' Mine, Diego: Like
Guns N' Roses - Sweet Child O' Mine, Diego: Like
Guns N' Roses - Sweet Child O' Mine, Diego: Like
